,type,url,headline,euRelation,countryOfOrigin,claimreviewed,source_url,date_published_parsed
14,Debunk,https://factcheckgreek.afp.com/doc.afp.com.364R9FD,"This photo from 2021 shows solar panels in India, not the solar park in Kozani",Indirect,GR,"This photo shows the plain in the city of Kozani, where there is now a huge photovoltaic park",https://www.facebook.com/adreaskoubaroulis.vremenessanides/posts/pfbid02z3v1dJ5Kjgd8HrAp3nnDKY9WQF9amsjjZsVBdcVcu7UNHb4eycAoeYHzDhMBVF6Sl,2024-07-24 12:29:00.000
15,Debunk,https://faktakoll.afp.com/doc.afp.com.364M8YH,"Headlines about different regions warming faster than average do not show climate change is ""fake""",Indirect,FI,Headlines about above-average warming in different regions show climate change is a lie,https://www.facebook.com/thomas.jarlsbo/posts/pfbid0i7z4eRSvJG8hqpie8DskcEjSFroc9wt1E42tioPVyxGTgr95MjDz8ZKfiE6foFeJl,2024-07-24 09:15:00.000
16,Debunk,https://info-veritas.com/desinformacion-imagen-biden-ia/,This image of Joe Biden wearing a mask is created using AI,Indirect,ES,RUMORS ARE CIRCULATING THAT JOE BIDEN IS DEAD,https://x.com/MattWallace888/status/1815236682549166330,2024-07-24 09:07:45.000
17,Debunk,https://info-veritas.com/desinformacion-noticia-gitano-marroquies-granada-no-actual/,The news about a “gypsy” who shot down “two Moroccan brothers” in Granada is from 2017,Direct,ES,A gypsy shoots down two Moroccan brothers in Granada,https://x.com/El__Kanalla__/status/1815133285242032357,2024-07-24 08:58:02.000
18,Debunk,https://faktantarkistus.afp.com/doc.afp.com.364R6MD,Biased study misleads on vaccine safety,Indirect,FI,74% deaths post-vaccination are related to covid-19 vaccination,https://www.facebook.com/pekka.timonen.5/posts/pfbid0vHhW2MdFuJVkn3wttLewSvwwQFMumUar3xF5JR9ijxEu25rwLBT4w7oDcCmiK2KKl,2024-07-24 08:00:00.000
19,Debunk,https://maldita.es/malditaciencia/20240724/pfizer-moderna-vacuna-covid19-anterior-primeros-casos/,"No, these documents do not prove that Pfizer's COVID-19 or Moderna's vaccine was launched before the first known cases of the disease",Direct,ES,"The Pfizer vaccine launched in May 2019, nine months before the official appearance of Covid",https://x.com/dejanirasilveir/status/1814731093054271703,2024-07-24 00:00:00.000
20,Debunk,https://verifica.efe.com/kamala-harris-no-pidio-reducir-la-poblacion-es-un-error-lectura/,"Kamala Harris is not asking to reduce the population, it's a misreading during a speech",Indirect,ES,Kamala Harris says in a speech that we must reduce the population to benefit her children,https://x.com/dejanirasilveir/status/1815447393837420898,2024-07-23 17:52:21.000
21,Debunk,https://verifica.efe.com/falsa-fotografia-kamala-harris-jeffrey-epstein/,The photograph of Kamala Harris posing with Jeffrey Epstein is false,Indirect,ES,A photograph shows the candidate for president of the United States Kamala Harris posing with Jeffrey Epstein,https://x.com/ultimocolinesio/status/1815394151875203396,2024-07-23 17:11:15.000
22,Debunk,https://www.tjekdet.dk/faktatjek/virale-videoer-faar-kamala-harris-til-fremstaa-vroevlende-og-usammenhaengende,Viral videos make Kamala Harris appear rambling and incoherent,Indirect,DK,Videos show Kamala Harris being rhetorically weak and rambling,https://x.com/stillgray/status/1813027980379365738?ref_src=twsrc%5Etfw%7Ctwcamp%5Etweetembed%7Ctwterm%5E1813027980379365738%7Ctwgr%5E7f79f91852ecc4e04facc7a2d5b48962e1a05000%7Ctwcon%5Es1_&ref_url=https%3A%2F%2Fwww.snopes.com%2Ffact-check%2Fkamala-harris-today-is-today-speech%2F,2024-07-23 12:48:38.000
23,Debunk,https://info-veritas.com/desinformacion-video-kamala-harris-bailando-no-actual/,This video of Kamala Harris dancing is not current,Indirect,ES,"LAST MINUTE ‼️ Kamala Harris begins her campaign in Huaycán, Peru.",https://x.com/MarioArceZ/status/1815129463077638187,2024-07-23 08:24:29.000
24,Debunk,https://factcheckgreek.afp.com/doc.afp.com.364Q2UP,Past heat records do not disprove climate change,Indirect,GR,Past heat records prove that climate change does not exist,https://www.facebook.com/Vassilis.Kostoulas/posts/pfbid02PKyA9iovUXCGKv28YiqJZh9dvesboPJhtb1NrQ7sfvHKcukr6mWGgNAmKC77gjqal,2024-07-23 07:23:00.000
25,Debunk,https://www.tjekdet.dk/faktatjek/kamala-harris-saettes-i-forbindelse-med-kontroversiel-forbryder,Kamala Harris is put in touch with controversial felon,Indirect,DK,Image shows US Vice President Kamala Harris alongside sex offender Jeffrey Epstein,https://x.com/GrrrGraphics/status/1815073841225560264,2024-07-22 11:56:46.000
26,Debunk,https://www.factchecker.gr/2024/07/22/restaurant-is-church-velopoulos-disinformation/,Velopoulos disinformation about restaurant that became a “pub and restaurant”,Indirect,GR,Churches to become pubs and restaurants! We need to make Europe Christian again!,https://x.com/velopky/status/1814925512977862675,2024-07-22 08:41:06.000
27,Debunk,https://www.ostro.si/si/razkrinkavanje/objave/nova24-navajala-netocne-podatke-o-stevilu-kaznivih-dejanj-v-ljubljani,Nova24 cited inaccurate data on the number of crimes in Ljubljana,Indirect,SI,"“In most parts of Ljubljana, over the past two years, a greater number of crimes of brazen theft and crimes against property have been detected. The Ljubljana Bežigrad Police Station recorded a 29.9% increase in crime, Moste 25.3%, Šiška 21%, Vič 20.1%",https://nova24tv.si/ljubljana-se-spreminja-v-kriminalni-pekel-kot-ameriska-demokratska-mesta/,2024-07-22 04:00:00.000
28,Debunk,https://verifica.efe.com/las-cremas-solares-no-producen-cancer-de-piel/,Sun creams don't cause skin cancer,Indirect,ES,"Sun creams are toxic, can cause cancer and alter the hormonal system",https://archive.ph/CVgQY,2024-07-19 15:46:41.000
29,Debunk,https://verifica.efe.com/alemania-virus-sarampion-existe-bulo/,It is not true that the German Justice ruled that the measles virus does not exist,Indirect,ES,"A German court ruling proves that the existence of the measles virus has not been proven, so their vaccine is also false",https://archive.ph/sIKKZ,2024-07-19 14:11:04.000
30,Debunk,https://www.ellinikahoaxes.gr/2024/07/19/parapliroforisi-apo-ton-k-velopoulo-me-evropaiko-charti-pou-apeikonizei-pyrinikous-stochous-tis-rosias/,Misinformation by Mr Velopoulos with a European map depicting,Direct,GR,Misinformation by Mr. Velopoulos with a European map depicting “Russia's nuclear targets”,https://x.com/velopky/status/1796454213536625058,2024-07-19 12:23:50.000
31,Debunk,https://www.factchecker.gr/2024/07/19/zelensky-is-not-wearing-pyjamas-but-military-style-attire/,Zelensky did NOT appear in pajamas at the summit of European leaders,Indirect,GR,"The President of Ukraine, Volodymyr Zelensky, appeared at the Summit of European Leaders wearing pajamas",https://www.pronews.gr/kosmos/eyropaiki-enosi/v-zelenski-emfanistike-me-pitzames-sti-synodo-koryfis-ton-eyropaion-igeton-vinteo/,2024-07-19 06:57:05.000
32,Debunk,https://verifica.efe.com/trump-ataque-mujer-agente-agachada-imagen-descontextualizada/,The image of an agent crouching down in the attack on Trump is decontextualized,Indirect,ES,A photograph shows how a Trump Secret Service agent is frozen right after the attack,https://archive.ph/LVCa3,2024-07-18 19:26:16.000
33,Debunk,https://correctiv.org/faktencheck/2024/07/18/warum-eine-hochwassermarkierung-in-passau-den-klimawandel-nicht-in-frage-stellen-kann/,Why a flood marker in Passau cannot call climate change into question,Indirect,DE,A flood marker in Passau from 1501 shows that there were floods hundreds of years ago. Man-made climate change is therefore no reason for floods,https://x.com/maikpi70/status/1807676121133056358,2024-07-18 15:25:22.000
34,Debunk,https://www.newtral.es/musulman-corta-pechos-estatua-francia-falso-ain-el-fouara-argelia/20240718/,"It is false that a “Muslim” cut off the breasts of a sculpture in France, it happened in Algeria in 2017",Indirect,ES,"In France, a Muslim destroys the breasts and face of a female statue from a fountain because he considers nudity a 'sin' (haram), as the Quran and Sharia say.",https://x.com/lady_habsburg/status/1813545363187663201,2024-07-18 15:01:29.000
35,Debunk,https://verifica.efe.com/catedral-ruan-incendio-ataque-religioso-bulo/,The authorities did not say that the fire at the cathedral in Rouen was religiously motivated,Indirect,ES,French authorities say the fire at the Rouen cathedral may have been religiously motivated,https://www.instagram.com/reel/C9UzXl2OlKO/,2024-07-18 13:19:17.000
36,Debunk,https://faktakoll.afp.com/doc.afp.com.364A6UX,Olena Zelenska did not buy the latest Bugatti car: fabricated proof come from unauthentic pro-Russian website,Indirect,FI,Olena Zelenska bought the latest Bugatti in France,https://www.facebook.com/bossemalare/posts/pfbid014mwEvMs5RgW8fiTUXC68hQ7N1pAr6YE7xHqx5yankJNQFbJktAtQbTa8GNcAeQgl,2024-07-18 12:52:00.000
37,Debunk,https://factuel.afp.com/doc.afp.com.363U62M,Hitler presented as a “hero” in an official Ukrainian history textbook? It's false,Indirect,FR,This page presenting Hitler as the liberator of Ukraine is taken from an official Ukrainian history manual,https://x.com/karpov16/status/1809832177506349322,2024-07-18 12:21:00.000
38,Debunk,https://factual.afp.com/doc.afp.com.364F6UQ,"Spain has a school dropout rate of 13.7%, not 31%",Indirect,ES,Spain won four European Championships and has a school dropout rate of 31%,https://twitter.com/Gargotejant/status/1812597140235182104,2024-07-18 10:53:00.000
39,Debunk,https://factcheck.vlaanderen/factcheck/co2-niveau-op-hoogste-niveau-sinds-ontstaan-mensheid,"Unlike millions of years ago, when it was even warmer, the current increase in CO2 is caused by humans",Indirect,BE,"The level, even now with industry contributions, is lower than it has ever been",https://youtu.be/A24fWmNA6lM?si=qv9gcZfs8L4_nueu&t=1380,2024-07-18 09:40:22.484
40,Debunk,https://www.ostro.si/si/razkrinkavanje/objave/kuga-se-ni-pojavila-na-novo,The plague did not reappear,Indirect,SI,“A new phenomenon of a disease that killed 25 million people in the Middle Ages.”,https://www.zurnal24.si/zdravje/nov-pojav-bolezni-ki-je-v-srednjem-veku-pomorila-25-milijonov-ljudi-426280,2024-07-18 04:00:00.000
41,Debunk,https://verifica.efe.com/falso-estas-personas-no-piden-violar-mujeres-celebran-un-triunfo-de-argelia/,"They don't ask to rape women, they celebrate a victory for the Algeria national soccer team",Indirect,ES,A video shows a Muslim who threatens to rape women and behead men,https://www.facebook.com/groups/736254325245572/posts/794102499460754/,2024-07-17 17:37:36.000
42,Debunk,https://factual.afp.com/doc.afp.com.364E7PN,"The captains of Euro 2020 weren't required to wear a rainbow bracelet, it was voluntary",Indirect,ES,"In Euro 2020, captains were required to wear the LGBT badge",https://www.facebook.com/aranjuezdirect/posts/pfbid0MRT2DqvAPy6CCFEGqtXua7HXoViqugU7vUy9Ro1SRpma8XWDHarkKtGWaMAzYBcdl,2024-07-17 13:20:00.000
43,Debunk,https://sprawdzam.afp.com/doc.afp.com.364948G,"No, the European Union does not introduce VAT on homemade cakes",Direct,PL,The EU will introduce a tax on homemade cakes sold at fairs in schools and kindergartens from 2025,https://t.me/LozaSzydercowSarkazm/6667,2024-07-17 11:25:00.000
44,Debunk,https://demagog.org.pl/fake_news/szczepienia-na-covid-19-do-2023-roku-uznawano-za-eksperyment-falsz/,COVID-19 vaccinations were considered an experiment until  the end of 2023? False,Indirect,PL,COVID-19 vaccines are a medical experiment,https://www.threads.net/@adriannorberturbanski/post/C9ArTcZNRu4,2024-07-17 10:38:42.000
45,Debunk,https://correctiv.org/faktencheck/2024/07/17/nein-die-who-mitgliedslaender-verhaften-keine-buerger-die-gegen-eine-vogelgrippe-impfung-sind/,"No, WHO member countries do not arrest citizens who oppose bird flu vaccination",Indirect,DE,"Under new WHO health rules, all 194 WHO Member States had agreed to arrest citizens who oppose the bird flu vaccine",https://www.tiktok.com/@widerstand50/photo/7386178512782150944,2024-07-17 09:44:41.000
46,Debunk,https://factcheck.vlaanderen/factcheck/huidige-klimaat-opwarming-komt-door-co2-uitstoot,More CO2 in the atmosphere causes higher temperatures,Indirect,BE,"CO₂ is not the cause of the current increase in temperature in the climate, as the temperature increased before the CO₂ levels in the atmosphere rose",https://www.instagram.com/reel/C5xs1dXiGO8/,2024-07-17 09:13:36.105
47,Factcheck,https://www.ostro.si/si/razkrinkavanje/objave/v-evropi-je-vec-kot-pet-superracunalnikov,There are more than five supercomputers in Europe,Indirect,SI,“This [Vega] is one of five supercomputers in Europe.”,https://www.dz-rs.si/wps/portal/Home/seje/evidenca/!ut/p/z1/04_Sj9CPykssy0xPLMnMz0vMAfIjo8zivSy9Hb283Q0N3E3dLQwCQ7z9g7w8nAwsPE31w9EUGAWZGgS6GDn5BhsYGwQHG-lHEaPfAAdwNCBOPx4FUfiNL8gNDQ11VFQEAF8pdGQ!/dz/d5/L2dBISEvZ0FBIS9nQSEh/?mandat=IX&type=mag&uid=DA0FF144F0354BC2C1258B54002F08EE,2024-07-17 04:00:00.000
48,Factcheck,https://demagog.org.pl/wypowiedzi/rzad-szuka-zakwaterowania-dla-relokowanych-imigrantow-falsz/,Government looking for accommodation for relocated immigrants? False,Direct,PL,"We have reached a letter that clearly indicates that they are looking for premises for immigrants for rape. The migration pact is already working, and not as they lie to us that it will not work until two years from now",https://www.tiktok.com/@kazismolinski/video/7390833327177043232,2024-07-16 16:56:13.000
49,Debunk,https://demagog.org.pl/fake_news/wi-fi-zabija-i-lepiej-je-wylaczyc-na-noc-sprawdzamy-to/,“Wi-Fi kills” and is it better to turn it off at night? We check it out,Direct,PL,Wi-Fi and routers pose a threat to human health,https://www.facebook.com/permalink.php?story_fbid=pfbid02rrWBYHmPCWiZ9tAR2wUACvkVKcpW4WaqD8YTe4dPQGfJX8VSQdkuFfBedjSXw3cgl&id=100071148398038&__cft__[0]=AZXHoMws4KChfd6OWWgoJLvqsnEhoS-bE8KiuDk61JLSXGZoO-1MmI2dnAghFxY3r2UJytJfcMhvtb3virZrJN5GH3Z0Elih1It8o1-ixZoveZV4izrXuAO4_0EJbAIQ9TZnlDt2hm-KY2Ew8eFF6clKvu0_9J2d69FhCR1E58_m5w&__tn__=%2CO%2CP-R,2024-07-16 15:32:00.000
50,Debunk,https://www.newtral.es/jovenes-iu-seleccion-espanola-bandera-marruecos/20240716/,Jóvens Izquierda Unida has not congratulated the Spanish Football Team with the Moroccan flag in X,Indirect,ES,Youth United Left has published the flag of the Second Spanish Republic and that of Morocco to “celebrate the victory of our national team” and support Lamine Yamal “without fascist symbols”.,https://x.com/JoveneslIU/status/1812601056880156757,2024-07-16 15:15:39.000
51,Debunk,https://correctiv.org/faktencheck/2024/07/16/trump-attentat-foto-von-laechelnden-secret-service-mitarbeitenden-ist-manipuliert/,Trump assassination attempt: Photo of smiling Secret Service employees is manipulated,Indirect,DE,A photo shows how secret service employees smiled immediately after the assassination attempt on Donald Trump,https://x.com/Terrence_Heik/status/1812512238785499228,2024-07-16 15:11:28.000
52,Debunk,https://correctiv.org/faktencheck/2024/07/16/klimawandel-warum-sich-mehrere-regionen-schneller-als-der-rest-der-welt-erwaermen/,Climate change: Why several regions are warming faster than the rest of the world,Indirect,DE,Media reports that several countries and continents were warming faster than the rest of the world proved a “climate diaper.”,,2024-07-16 14:49:14.000
53,Factcheck,https://demagog.org.pl/wypowiedzi/800-tys-polakow-z-dostepem-do-broni-jest-ich-mniej/,800 thousand Poles with access to weapons? There are fewer of them,Indirect,PL,"In Poland, it seems, quite simply, that weapons are now easier than ever. Last year, more than 40,000 permits were issued. [...] more than 800,000. Poles, well over, have guns","https://vod.tvp.pl/informacje-i-publicystyka,205/woronicza-17-odcinki,273788/odcinek-560,S01E560,1448151",2024-07-16 12:27:30.000
54,Factcheck,https://www.verificat.cat/es/los-menores-espanoles-son-la-mayor-parte-de-los-internados-en-el-sistema-penitenciario-de-catalunya-y-no-los-marroquies-a-diferencia-de-lo-que-dice-garriga/,"Spanish minors make up the majority of those interned in Catalonia's prison system, and not Moroccans, contrary to what Garriga says",Indirect,ES,The juvenile prison in Catalonia has more than 80% of Moroccan inmates,https://x.com/Igarrigavaz/status/1810997250732012006,2024-07-16 11:10:08.000
55,Debunk,https://www.newtral.es/catedral-rouen-ataque-religioso-francia-bulo/20240716/,The French authorities have not declared that the fire at the Rouen cathedral was a “religious attack”,Indirect,ES,"French authorities state that the cause of the fire in the cathedral in Rouen, France, could be a religious attack.",https://x.com/eduardomenoni/status/1811417216845545891,2024-07-16 10:55:48.000
56,Debunk,https://correctiv.org/faktencheck/2024/07/16/explosion-am-kinderkrankenhaus-in-kiew-analysen-belegen-angriff-mit-russischer-kh-101-rakete/,Explosion at children's hospital in Kiev: Analyses prove attack with Russian Kh-101 rocket,Indirect,DE,"A video shows that the Ochmadyt Children's Hospital in Kiev was not hit by a Russian rocket. The missile hit was a Ukrainian air defense missile, type PAC-3 or AIM-120, depending on the claim. The missile came from a northwestern direction, but Russian missiles in Ukraine usually came from the south-east direction",https://x.com/RusBotschaft/status/1810666323434668332,2024-07-16 10:49:48.000
57,Debunk,https://mythdetector.ge/en/disinformation-about-the-attack-on-trump-under-the-name-of-a-secret-service-sniper/,Disinformation about the Attack on Trump under the name of a Secret Service Sniper,Indirect,GE,"Jonathan Willis, a Secret Service sniper, admitted that he was on the roof during the attack on former U.S. President Donald Trump. He watched the attacker for several minutes, but the Secret Service chief did not give the order to shoot",https://www.facebook.com/permalink.php?story_fbid=pfbid02WdvNTY8d3jPAcg36yDHi5HHDTkVwkzdTEyTGPMWv4QyxZcStTLTEt9SgqcZB6dngl&id=100089809594915,2024-07-16 09:59:40.000
58,Debunk,https://demagog.org.pl/fake_news/poszukiwania-zakwaterowania-dla-migrantow-z-afryki-sprawdzamy/,Looking for accommodation for migrants from Africa? We check,Indirect,PL,The search for a place to accommodate migrants from Africa has begun,https://www.facebook.com/nefaleme/posts/493261669761714,2024-07-16 09:57:50.000
59,Debunk,https://mythdetector.ge/en/disinformation-claiming-a-nato-general-died-in-a-missile-attack-in-ukraine/,Disinformation Claiming a NATO General Died in a Missile Attack in Ukraine,Indirect,GE,NATO General Marczak might have died as a result of an Iskander missile strike in Chasiv Yar,https://www.facebook.com/photo?fbid=122183355020037370&set=a.122103461150037370,2024-07-16 09:05:38.000
60,Debunk,https://verifica.efe.com/nada-prueba-responsable-seguridad-mitin-trump-abatir-tirador/,Nothing proves that the security officer of the Trump rally refused to order the shooting to be killed,Indirect,ES,The policeman who shot down the sniper had to wait three minutes before receiving the order to neutralize him,https://www.facebook.com/BunkerNacional/posts/pfbid0uAQJRGveZiKHsQGg1jyxJjrFhTi2G1peTah6rnvBNVpw7SRyCfxNkiX6DaVTTkbgl,2024-07-15 18:18:21.000
61,Debunk,https://verifica.efe.com/atentado-trump-mark-violet-autor-falso/,"The perpetrator of the attack against Trump was not called Mark Violets, nor was he from Antifa",Indirect,ES,"A photo shows the author of the assassination attempt against Donal Trump, Mark Violets, a self-proclaimed communist and member of the Antifa movement",https://x.com/ElTrumpista/status/1812268183706849510,2024-07-15 17:37:04.000
62,Debunk,https://verificat.afp.com/doc.afp.com.364963G,"Sunscreens are safe even if they enter the bloodstream, experts say",Indirect,RO,"Sunscreen is dangerous to human health, as it can enter the bloodstream",https://t.me/veritasadevarulnecenzurat/9285,2024-07-15 16:32:00.000
63,Debunk,https://demagog.org.pl/fake_news/czy-to-zdjecie-zamachowca-ktory-strzelal-do-trumpa-sprawdzamy/,Is this a photo of the assassin who shot at Trump? We check,Indirect,PL,The photo shows the gunman who shot Donald Trump,https://www.facebook.com/groups/259842051093058/posts/1803730480037533,2024-07-15 15:48:59.000
64,Debunk,https://demagog.org.pl/fake_news/secret-service-wmieszane-w-zamach-na-trumpa-ten-film-tego-nie-dowodzi/,Secret Service implicated in Trump's assassination? This video does not prove it,Indirect,PL,"The video shows agents pushing people away from the line of fire, which is evidence that the Secret Service was involved in the assassination of Donald Trump",https://www.facebook.com/edgarwolnoscpolska/videos/392504896688579,2024-07-15 15:09:16.000
65,Debunk,https://www.newtral.es/video-frontera-marruecos-espana-fake/20240715/,This video of “thousands of migrants” on the border between Morocco and Spain is not current,Indirect,ES,This video shows the Ceuta fence “out of control” in July 2024 with thousands of migrants on the border between Morocco and Spain trying to jump.,https://x.com/IgdePablo/status/1811856636169891886,2024-07-15 14:26:34.000
66,Debunk,https://www.newtral.es/europa-violar-decapitar-migracion-francia-bulo/20240715/,This video doesn't show an immigrant screaming that he will rape European women and behead men,Indirect,ES,Muslim immigrants in France shouting: “We are going to rape all white women in Europe and behead all men. We captured Europe. It's ours now.”,https://x.com/eduardomenoni/status/1811192769194459551,2024-07-15 12:00:06.000
67,Debunk,https://demagog.org.pl/fake_news/czy-opalanie-jest-nieszkodliwe-dla-zdrowia-wyjasniamy/,Is tanning harmless to health? We explain,Direct,PL,"Tanning is harmless to health, and the skin after tanning looks younger and healthier",https://www.threads.net/@duracell_m/post/C8_e7ExNxmx?fbclid=IwZXh0bgNhZW0CMTAAAR2RYURWv-GIhLUG-LYAn6XW9vKL19BHLRiojB_ADcgjlImIRfSYjEcHf9A_aem_iEJZimx9zFF1fkz9lJFUZw,2024-07-15 11:26:03.000
68,Debunk,https://faktantarkistus.afp.com/doc.afp.com.363W8JD,Olena Zelenska did not buy the latest Bugatti car: fabricated proof come from unauthentic pro-Russian website,Indirect,FI,Olena Zelenska bought the newest Bugatti,https://www.facebook.com/sanna.tolppanen.7/posts/pfbid0oV8MjhodwNbjti3MJ5Z6qhMs3nnfHEhZ1fAwXW3rj2DwC2tKdTNQj3hue5ShHdsBl,2024-07-15 09:45:00.000
69,Debunk,https://proveri.afp.com/doc.afp.com.363X24U,Claims that Sahara dust comes from “chemtrails” are false,Indirect,BG,Saharian dust is toxic chemicals coming from chemtrails,,2024-07-15 09:39:00.000
70,Debunk,https://science.feedback.org/review/study-claiming-74-of-deaths-due-to-covid-19-vaccines-contains-signs-of-potential-biases-uses-flawed-methodology/,"Study claiming 74% of deaths due to COVID-19 vaccines contains signs of potential biases, uses flawed methodology",Indirect,FR,A review of autopsy cases found that 74% of deaths were linked to COVID-19 vaccines,https://www.thegatewaypundit.com/2024/06/lancet-journal-study-finds-73-9-deaths-following/,2024-07-14 19:40:26.000
71,Debunk,https://teyit.org/analiz/goruntulerin-trumpa-suikast-girisiminde-bulunan-kisiyi-gosterdigi-iddiasi,The claim that the images show the person who attempted to assassinate Trump,Indirect,TR,The claim that the images show the person who attempted to assassinate Trump,https://x.com/isotrua/status/1812412667425951999?s=46&t=uYTIiICu7qjQoeCcA6SB1g,2024-07-14 16:00:00.000
72,Factcheck,https://www.ellinikahoaxes.gr/2024/07/12/psevdis-ischyrismos-tou-k-velopoulou-me-montarismeno-vinteo-tis-ekprosopou-typou-tou-lefkou-oikou/,Misinformation by K. Velopoulos with edited video with the White House Press Secretary,Indirect,GR,Video shows the White House press secretary not answering reporter questions about the health of US President Joe Biden,https://x.com/velopky/status/1810953838339186929,2024-07-12 17:24:53.000
